setting,dataset,model,condition,method,N,before_acc,after_acc,delta,recovered,recovery_den,recovery_rate,recovery_ci_exact,regressed,regression_den,regression_rate,regression_ci_exact,stayed_correct,stayed_wrong,structural_clearance,joint_full_repair,new_failure_rate,em_before,em_after,f1_before,f1_after,latency_mean_ms,latency_median_ms,tokens_mean
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,D_L,b2,108,0.18518518518518517,0.3333333333333333,0.14814814814814814,25,88,0.2840909090909091,"[0.19301787046091967, 0.39020455497440276]",9,20,0.45,"[0.2305778967759241, 0.6847218669594515]",11,63,0.0,0.0,0.0,0.1574074074074074,0.2962962962962963,0.1915784832451499,0.331194885361552,785.2870370370371,764.5,1722.1203703703704
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,D_L,b3,108,0.18518518518518517,0.2962962962962963,0.1111111111111111,12,88,0.13636363636363635,"[0.07249389962717559, 0.22608755366085753]",0,20,0.0,"[0.0, 0.16843347098308528]",20,76,0.0,0.0,0.0,0.1574074074074074,0.25,0.1915784832451499,0.29034391534391535,4064.953703703704,2831.0,417.72222222222223
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,D_L,b0,108,0.18518518518518517,0.18518518518518517,0.0,0,88,0.0,,0,20,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D_L,fixed,108,0.07407407407407407,0.6481481481481481,0.5740740740740741,65,100,0.65,"[0.5481506381760306, 0.7427062214685488]",3,8,0.375,"[0.08523341413725354, 0.7551367836334484]",5,35,0.6111111111111112,0.5277777777777778,0.0,0.06481481481481481,0.5555555555555556,0.09821428571428571,0.6008156966490299,839.9537037037037,799.0,1859.1944444444443
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D_L,reverse,108,0.07407407407407407,0.5370370370370371,0.46296296296296297,53,100,0.53,"[0.42758148489004516, 0.6305948358056055]",3,8,0.375,"[0.08523341413725354, 0.7551367836334484]",5,47,0.3611111111111111,0.32407407407407407,0.0,0.06481481481481481,0.4722222222222222,0.09821428571428571,0.5097663139329806,833.1481481481482,804.0,1856.6851851851852
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D_L,b2,108,0.07407407407407407,0.16666666666666666,0.09259259259259259,16,100,0.16,"[0.09431028997394623, 0.24678759741086234]",6,8,0.75,"[0.3491442055871758, 0.9681459737500557]",2,84,0.0,0.0,0.0,0.06481481481481481,0.14814814814814814,0.09821428571428571,0.1845899470899471,738.9722222222222,721.0,1535.5555555555557
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D_L,b3,108,0.07407407407407407,0.2037037037037037,0.12962962962962962,15,100,0.15,"[0.08645438564164859, 0.23530750014895488]",1,8,0.125,"[0.0031597235312519063, 0.5265096708752065]",7,85,0.0,0.0,0.0,0.06481481481481481,0.17592592592592593,0.09821428571428571,0.20932539682539683,3416.75,2646.0,631.5185185185185
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D_L,b0,108,0.07407407407407407,0.07407407407407407,0.0,0,100,0.0,,0,8,0.0,,,,0.0,0.0,0.0,,,,,,,
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D,fixed,108,0.4166666666666667,0.6851851851851852,0.26851851851851855,37,63,0.5873015873015873,"[0.4561768432495709, 0.7099403576024554]",8,45,0.17777777777777778,"[0.08001795745730611, 0.3205342433933702]",37,26,0.5,0.4351851851851852,0.0,0.25925925925925924,0.46296296296296297,0.3735817166372722,0.5909685479129924,613.2685185185185,616.0,1778.2777777777778
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D,reverse,106,0.42452830188679247,0.6792452830188679,0.25471698113207547,33,61,0.5409836065573771,"[0.40849889175737925, 0.6693559041406814]",6,45,0.13333333333333333,"[0.0505423759133262, 0.26792495409344785]",39,28,0.5943396226415094,0.5,0.0,0.2641509433962264,0.4528301886792453,0.3774857741838874,0.5822626534890686,618.2830188679245,603.5,1791.3962264150944
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D,b2,108,0.4166666666666667,0.46296296296296297,0.046296296296296294,30,63,0.47619047619047616,"[0.34877671126628973, 0.6059162449215373]",25,45,0.5555555555555556,"[0.3999734964036788, 0.7035560761341417]",20,33,0.0,0.0,0.0,0.25925925925925924,0.28703703703703703,0.3735817166372722,0.41298558472887975,538.9537037037037,521.0,1500.898148148148
